fret,scale_length_mm,position_from_nut_mm,status,source
1,660.000,37.043,exploration_not_authority,exploration:660.0mm
2,660.000,72.007,exploration_not_authority,exploration:660.0mm
3,660.000,105.008,exploration_not_authority,exploration:660.0mm
4,660.000,136.158,exploration_not_authority,exploration:660.0mm
5,660.000,165.559,exploration_not_authority,exploration:660.0mm
6,660.000,193.310,exploration_not_authority,exploration:660.0mm
7,660.000,219.503,exploration_not_authority,exploration:660.0mm
8,660.000,244.226,exploration_not_authority,exploration:660.0mm
9,660.000,267.562,exploration_not_authority,exploration:660.0mm
10,660.000,289.588,exploration_not_authority,exploration:660.0mm
11,660.000,310.377,exploration_not_authority,exploration:660.0mm
12,660.000,330.000,exploration_not_authority,exploration:660.0mm
13,660.000,348.521,exploration_not_authority,exploration:660.0mm
14,660.000,366.003,exploration_not_authority,exploration:660.0mm
15,660.000,382.504,exploration_not_authority,exploration:660.0mm
16,660.000,398.079,exploration_not_authority,exploration:660.0mm
17,660.000,412.779,exploration_not_authority,exploration:660.0mm
18,660.000,426.655,exploration_not_authority,exploration:660.0mm
19,660.000,439.751,exploration_not_authority,exploration:660.0mm
20,660.000,452.113,exploration_not_authority,exploration:660.0mm
21,660.000,463.781,exploration_not_authority,exploration:660.0mm
22,660.000,474.794,exploration_not_authority,exploration:660.0mm
23,660.000,485.189,exploration_not_authority,exploration:660.0mm
24,660.000,495.000,exploration_not_authority,exploration:660.0mm
1,690.000,38.727,exploration_not_authority,exploration:690.0mm
2,690.000,75.280,exploration_not_authority,exploration:690.0mm
3,690.000,109.781,exploration_not_authority,exploration:690.0mm
4,690.000,142.347,exploration_not_authority,exploration:690.0mm
5,690.000,173.084,exploration_not_authority,exploration:690.0mm
6,690.000,202.096,exploration_not_authority,exploration:690.0mm
7,690.000,229.480,exploration_not_authority,exploration:690.0mm
8,690.000,255.327,exploration_not_authority,exploration:690.0mm
9,690.000,279.724,exploration_not_authority,exploration:690.0mm
10,690.000,302.751,exploration_not_authority,exploration:690.0mm
11,690.000,324.485,exploration_not_authority,exploration:690.0mm
12,690.000,345.000,exploration_not_authority,exploration:690.0mm
13,690.000,364.363,exploration_not_authority,exploration:690.0mm
14,690.000,382.640,exploration_not_authority,exploration:690.0mm
15,690.000,399.891,exploration_not_authority,exploration:690.0mm
16,690.000,416.173,exploration_not_authority,exploration:690.0mm
17,690.000,431.542,exploration_not_authority,exploration:690.0mm
18,690.000,446.048,exploration_not_authority,exploration:690.0mm
19,690.000,459.740,exploration_not_authority,exploration:690.0mm
20,690.000,472.664,exploration_not_authority,exploration:690.0mm
21,690.000,484.862,exploration_not_authority,exploration:690.0mm
22,690.000,496.375,exploration_not_authority,exploration:690.0mm
23,690.000,507.243,exploration_not_authority,exploration:690.0mm
24,690.000,517.500,exploration_not_authority,exploration:690.0mm
1,720.000,40.410,exploration_not_authority,exploration:720.0mm
2,720.000,78.553,exploration_not_authority,exploration:720.0mm
3,720.000,114.555,exploration_not_authority,exploration:720.0mm
4,720.000,148.536,exploration_not_authority,exploration:720.0mm
5,720.000,180.609,exploration_not_authority,exploration:720.0mm
6,720.000,210.883,exploration_not_authority,exploration:720.0mm
7,720.000,239.458,exploration_not_authority,exploration:720.0mm
8,720.000,266.428,exploration_not_authority,exploration:720.0mm
9,720.000,291.885,exploration_not_authority,exploration:720.0mm
10,720.000,315.914,exploration_not_authority,exploration:720.0mm
11,720.000,338.593,exploration_not_authority,exploration:720.0mm
12,720.000,360.000,exploration_not_authority,exploration:720.0mm
13,720.000,380.205,exploration_not_authority,exploration:720.0mm
14,720.000,399.276,exploration_not_authority,exploration:720.0mm
15,720.000,417.277,exploration_not_authority,exploration:720.0mm
16,720.000,434.268,exploration_not_authority,exploration:720.0mm
17,720.000,450.305,exploration_not_authority,exploration:720.0mm
18,720.000,465.442,exploration_not_authority,exploration:720.0mm
19,720.000,479.729,exploration_not_authority,exploration:720.0mm
20,720.000,493.214,exploration_not_authority,exploration:720.0mm
21,720.000,505.943,exploration_not_authority,exploration:720.0mm
22,720.000,517.957,exploration_not_authority,exploration:720.0mm
23,720.000,529.297,exploration_not_authority,exploration:720.0mm
24,720.000,540.000,exploration_not_authority,exploration:720.0mm
